fouls,yellow_cards,red_cards,possession_rate,shots,shot_on target,passing,passing_success,passing_success_rate,crossing,corners,offside,unkown,head,head_success,save,slide_tackle,shot_out_of target,blocked_shots,thorw-in,stars,hometeam,funny_rating
7.0,2.0,0.0,54.0,20.0,12.0,615.0,530.0,0.86,11.0,5.0,1.0,0.0,11.0,6.0,6.0,17.0,6.0,2.0,15.0,7.63,0.0,0.0
14.0,3.0,0.0,72.0,14.0,6.0,827.0,726.0,0.88,7.0,9.0,4.0,0.0,27.0,18.0,0.0,21.0,8.0,7.0,29.0,6.85,0.0,1.0
18.0,1.0,0.0,51.0,17.0,5.0,501.0,423.0,0.84,6.0,17.0,6.0,0.0,18.0,7.0,0.0,17.0,8.0,4.0,22.0,6.73,0.0,1.0
7.0,0.0,0.0,70.0,10.0,4.0,751.0,666.0,0.89,9.0,7.0,2.0,0.0,26.0,10.0,2.0,19.0,3.0,3.0,27.0,6.83,1.0,1.0
12.0,0.0,0.0,65.0,18.0,8.0,686.0,598.0,0.87,12.0,9.0,2.0,0.0,15.0,6.0,2.0,31.0,6.0,4.0,22.0,6.8,0.0,1.0
20.0,1.0,0.0,51.0,14.0,4.0,610.0,526.0,0.86,6.0,8.0,3.0,0.0,28.0,10.0,1.0,22.0,8.0,3.0,22.0,6.61,1.0,1.0
10.0,1.0,0.0,40.0,12.0,2.0,514.0,432.0,0.84,4.0,4.0,4.0,0.0,25.0,15.0,1.0,23.0,5.0,5.0,21.0,6.47,1.0,1.0
7.0,1.0,0.0,61.0,35.0,10.0,617.0,547.0,0.89,12.0,11.0,2.0,0.0,19.0,9.0,2.0,27.0,13.0,12.0,17.0,7.36,0.0,1.0
8.0,0.0,1.0,57.0,13.0,8.0,502.0,406.0,0.81,4.0,7.0,1.0,0.0,19.0,12.0,3.0,24.0,1.0,4.0,23.0,7.05,1.0,1.0
11.0,1.0,0.0,63.0,17.0,8.0,576.0,484.0,0.84,3.0,17.0,2.0,0.0,22.0,15.0,0.0,30.0,8.0,1.0,14.0,6.37,0.0,1.0
5.0,2.0,0.0,56.0,21.0,5.0,533.0,463.0,0.87,12.0,9.0,2.0,0.0,14.0,7.0,3.0,23.0,7.0,9.0,20.0,6.47,0.0,1.0
13.0,3.0,0.0,69.0,13.0,3.0,608.0,504.0,0.83,13.0,12.0,3.0,0.0,26.0,12.0,3.0,25.0,8.0,2.0,34.0,6.51,1.0,1.0
7.0,1.0,0.0,56.0,11.0,6.0,653.0,573.0,0.88,5.0,6.0,5.0,0.0,13.0,8.0,1.0,28.0,4.0,1.0,21.0,7.01,0.0,1.0
12.0,2.0,0.0,55.0,13.0,5.0,624.0,542.0,0.87,7.0,4.0,0.0,0.0,23.0,14.0,2.0,18.0,7.0,1.0,16.0,7.09,0.0,1.0
11.0,2.0,0.0,64.0,14.0,3.0,522.0,443.0,0.85,15.0,8.0,3.0,0.0,29.0,15.0,5.0,20.0,9.0,2.0,25.0,7.1,1.0,1.0
11.0,0.0,0.0,61.0,21.0,10.0,704.0,638.0,0.91,9.0,6.0,2.0,0.0,11.0,7.0,2.0,20.0,7.0,4.0,24.0,7.07,0.0,1.0
17.0,1.0,0.0,50.0,14.0,2.0,547.0,483.0,0.88,4.0,6.0,5.0,0.0,18.0,11.0,1.0,22.0,4.0,8.0,15.0,6.86,1.0,1.0
